previous,symbol1,grouping_date,name,type,commodity
339.925,GFF26,202601,GF,Future,FDR CATTLE
339.925,GFF26,202602,GF,Future,FDR CATTLE
334.85,GFH26,202603,GF,Future,FDR CATTLE
333.775,GFJ26,202604,GF,Future,FDR CATTLE
331.775,GFK26,202605,GF,Future,FDR CATTLE
331.775,GFK26,202606,GF,Future,FDR CATTLE
331.775,GFK26,202607,GF,Future,FDR CATTLE
331.975,GFQ26,202608,GF,Future,FDR CATTLE
329.625,GFU26,202609,GF,Future,FDR CATTLE
326.95,GFV26,202610,GF,Future,FDR CATTLE
323.125,GFX26,202611,GF,Future,FDR CATTLE
323.125,GFX26,202612,GF,Future,FDR CATTLE
317.0,GFF27,202701,GF,Future,FDR CATTLE
317.0,GFF27,202702,GF,Future,FDR CATTLE
317.0,GFF27,202703,GF,Future,FDR CATTLE
317.0,GFF27,202704,GF,Future,FDR CATTLE
317.0,GFF27,202705,GF,Future,FDR CATTLE
317.0,GFF27,202706,GF,Future,FDR CATTLE
317.0,GFF27,202707,GF,Future,FDR CATTLE
317.0,GFF27,202708,GF,Future,FDR CATTLE
317.0,GFF27,202709,GF,Future,FDR CATTLE
317.0,GFF27,202710,GF,Future,FDR CATTLE
317.0,GFF27,202711,GF,Future,FDR CATTLE
317.0,GFF27,202712,GF,Future,FDR CATTLE
83.85,HEG26,202602,HE,Future,CME LEAN HOGS
83.85,HEG26,202603,HE,Future,CME LEAN HOGS
88.925,HEJ26,202604,HE,Future,CME LEAN HOGS
92.5,HEK26,202605,HE,Future,CME LEAN HOGS
101.05,HEM26,202606,HE,Future,CME LEAN HOGS
102.0,HEN26,202607,HE,Future,CME LEAN HOGS
101.15,HEQ26,202608,HE,Future,CME LEAN HOGS
101.15,HEQ26,202609,HE,Future,CME LEAN HOGS
85.275,HEV26,202610,HE,Future,CME LEAN HOGS
85.275,HEV26,202611,HE,Future,CME LEAN HOGS
76.575,HEZ26,202612,HE,Future,CME LEAN HOGS
76.575,HEZ26,202701,HE,Future,CME LEAN HOGS
79.175,HEG27,202702,HE,Future,CME LEAN HOGS
79.175,HEG27,202703,HE,Future,CME LEAN HOGS
82.4,HEJ27,202704,HE,Future,CME LEAN HOGS
85.775,HEK27,202705,HE,Future,CME LEAN HOGS
93.825,HEM27,202706,HE,Future,CME LEAN HOGS
93.825,HEM27,202707,HE,Future,CME LEAN HOGS
93.825,HEM27,202708,HE,Future,CME LEAN HOGS
93.825,HEM27,202709,HE,Future,CME LEAN HOGS
93.825,HEM27,202710,HE,Future,CME LEAN HOGS
93.825,HEM27,202711,HE,Future,CME LEAN HOGS
93.825,HEM27,202712,HE,Future,CME LEAN HOGS
230.825,LEZ25,202512,LE,Future,LIVE CATTLE
230.825,LEZ25,202601,LE,Future,LIVE CATTLE
230.55,LEG26,202602,LE,Future,LIVE CATTLE
230.55,LEG26,202603,LE,Future,LIVE CATTLE
230.025,LEJ26,202604,LE,Future,LIVE CATTLE
230.025,LEJ26,202605,LE,Future,LIVE CATTLE
223.425,LEM26,202606,LE,Future,LIVE CATTLE
223.425,LEM26,202607,LE,Future,LIVE CATTLE
219.45,LEQ26,202608,LE,Future,LIVE CATTLE
219.45,LEQ26,202609,LE,Future,LIVE CATTLE
218.125,LEV26,202610,LE,Future,LIVE CATTLE
218.125,LEV26,202611,LE,Future,LIVE CATTLE
218.075,LEZ26,202612,LE,Future,LIVE CATTLE
218.075,LEZ26,202701,LE,Future,LIVE CATTLE
217.475,LEG27,202702,LE,Future,LIVE CATTLE
217.475,LEG27,202703,LE,Future,LIVE CATTLE
216.725,LEJ27,202704,LE,Future,LIVE CATTLE
216.725,LEJ27,202705,LE,Future,LIVE CATTLE
209.8,LEM27,202706,LE,Future,LIVE CATTLE
209.8,LEM27,202707,LE,Future,LIVE CATTLE
209.8,LEM27,202708,LE,Future,LIVE CATTLE
209.8,LEM27,202709,LE,Future,LIVE CATTLE
209.8,LEM27,202710,LE,Future,LIVE CATTLE
209.8,LEM27,202711,LE,Future,LIVE CATTLE
209.8,LEM27,202712,LE,Future,LIVE CATTLE
