disease,season,season_month,calendar_year,calendar_month,cumulative_incidence_pct
PRRS,2024-25,Jul,2024,7,0.0
PRRS,2024-25,Aug,2024,8,1.0
PRRS,2024-25,Sep,2024,9,2.0
PRRS,2024-25,Oct,2024,10,3.0
PRRS,2024-25,Nov,2024,11,5.0
PRRS,2024-25,Dec,2024,12,8.0
PRRS,2024-25,Jan,2025,1,10.0
PRRS,2024-25,Feb,2025,2,12.0
PRRS,2024-25,Mar,2025,3,14.0
PRRS,2024-25,Apr,2025,4,16.0
PRRS,2024-25,May,2025,5,17.0
PRRS,2024-25,Jun,2025,6,17.2
PRRS,2025-26,Jul,2025,7,0.0
PRRS,2025-26,Aug,2025,8,0.5
PRRS,2025-26,Sep,2025,9,1.0
PRRS,2025-26,Oct,2025,10,2.0
PRRS,2025-26,Nov,2025,11,3.0
PRRS,2025-26,Dec,2025,12,5.0
PRRS,2025-26,Jan,2026,1,7.0
PRRS,2025-26,Feb,2026,2,9.0
PRRS,2025-26,Mar,2026,3,11.0
PRRS,2025-26,Apr,2026,4,12.5
PRRS,2023-24,Jul,2023,7,0.0
PRRS,2023-24,Aug,2023,8,1.0
PRRS,2023-24,Sep,2023,9,3.0
PRRS,2023-24,Oct,2023,10,5.0
PRRS,2023-24,Nov,2023,11,7.0
PRRS,2023-24,Dec,2023,12,10.0
PRRS,2023-24,Jan,2024,1,13.0
PRRS,2023-24,Feb,2024,2,16.0
PRRS,2023-24,Mar,2024,3,19.0
PRRS,2023-24,Apr,2024,4,22.0
PRRS,2023-24,May,2024,5,25.0
PRRS,2023-24,Jun,2024,6,27.0
PRRS,2022-23,Jul,2022,7,0.0
PRRS,2022-23,Aug,2022,8,2.0
PRRS,2022-23,Sep,2022,9,4.0
PRRS,2022-23,Oct,2022,10,7.0
PRRS,2022-23,Nov,2022,11,10.0
PRRS,2022-23,Dec,2022,12,14.0
PRRS,2022-23,Jan,2023,1,17.0
PRRS,2022-23,Feb,2023,2,20.0
PRRS,2022-23,Mar,2023,3,24.0
PRRS,2022-23,Apr,2023,4,27.0
PRRS,2022-23,May,2023,5,30.0
PRRS,2022-23,Jun,2023,6,33.0
PRRS,2021-22,Jul,2021,7,0.0
PRRS,2021-22,Aug,2021,8,1.0
PRRS,2021-22,Sep,2021,9,2.0
PRRS,2021-22,Oct,2021,10,4.0
PRRS,2021-22,Nov,2021,11,7.0
PRRS,2021-22,Dec,2021,12,10.0
PRRS,2021-22,Jan,2022,1,13.0
PRRS,2021-22,Feb,2022,2,15.0
PRRS,2021-22,Mar,2022,3,17.0
PRRS,2021-22,Apr,2022,4,19.0
PRRS,2021-22,May,2022,5,21.0
PRRS,2021-22,Jun,2022,6,22.0
PED,2025-26,Jul,2025,7,0.0
PED,2025-26,Aug,2025,8,0.0
PED,2025-26,Sep,2025,9,0.1
PED,2025-26,Oct,2025,10,0.3
PED,2025-26,Nov,2025,11,1.0
PED,2025-26,Dec,2025,12,3.0
PED,2025-26,Jan,2026,1,4.2
PED,2025-26,Feb,2026,2,4.8
PED,2025-26,Mar,2026,3,5.5
PED,2025-26,Apr,2026,4,7.9
PED,2024-25,Jul,2024,7,0.0
PED,2024-25,Aug,2024,8,0.0
PED,2024-25,Sep,2024,9,0.0
PED,2024-25,Oct,2024,10,0.1
PED,2024-25,Nov,2024,11,0.3
PED,2024-25,Dec,2024,12,0.8
PED,2024-25,Jan,2025,1,1.2
PED,2024-25,Feb,2025,2,1.5
PED,2024-25,Mar,2025,3,2.5
PED,2024-25,Apr,2025,4,3.2
PED,2024-25,May,2025,5,3.6
PED,2024-25,Jun,2025,6,3.8
PED,2023-24,Jul,2023,7,0.0
PED,2023-24,Aug,2023,8,0.0
PED,2023-24,Sep,2023,9,0.0
PED,2023-24,Oct,2023,10,0.1
PED,2023-24,Nov,2023,11,0.2
PED,2023-24,Dec,2023,12,0.5
PED,2023-24,Jan,2024,1,0.8
PED,2023-24,Feb,2024,2,1.5
PED,2023-24,Mar,2024,3,2.5
PED,2023-24,Apr,2024,4,3.0
PED,2023-24,May,2024,5,3.5
PED,2023-24,Jun,2024,6,4.0
PED,2022-23,Jul,2022,7,0.0
PED,2022-23,Aug,2022,8,0.0
PED,2022-23,Sep,2022,9,0.1
PED,2022-23,Oct,2022,10,0.3
PED,2022-23,Nov,2022,11,0.8
PED,2022-23,Dec,2022,12,2.0
PED,2022-23,Jan,2023,1,3.5
PED,2022-23,Feb,2023,2,4.5
PED,2022-23,Mar,2023,3,5.5
PED,2022-23,Apr,2023,4,6.5
PED,2022-23,May,2023,5,7.5
PED,2022-23,Jun,2023,6,8.5
PED,2021-22,Jul,2021,7,0.0
PED,2021-22,Aug,2021,8,0.0
PED,2021-22,Sep,2021,9,0.0
PED,2021-22,Oct,2021,10,0.1
PED,2021-22,Nov,2021,11,0.2
PED,2021-22,Dec,2021,12,0.5
PED,2021-22,Jan,2022,1,0.8
PED,2021-22,Feb,2022,2,1.0
PED,2021-22,Mar,2022,3,1.2
PED,2021-22,Apr,2022,4,1.5
PED,2021-22,May,2022,5,1.8
PED,2021-22,Jun,2022,6,2.0
